description,prerequisites,number,credits,department,name
"Introduces design and operation of facilities for treatment of municipal water supplies and wastewater. Provides an engineering application of physical, chemical, and biological unit processes and operations for removal of impurities and pollutants. Involves an integrated design of whole treatment systems combining process elements. Requisites: Requires prerequisite course of CVEN 3414 (minimum grade C-).",Requisites: Requires prerequisite course of CVEN 3414 (minimum grade C-).,3424,(3),CVEN,) Water and Wastewater Treatment
"Emphasizes the integration of physical, chemical, and biological processes in controlling terrestrial and aquatic ecosystems. Ecosystem concepts are applied to current environmental and water quality problems. Includes field trips and a group project.  Same as ENVS 3434. Requisites: Prereq courses of CHEN 1211 and CHEM 1211 (or CHEM 1113 and CHEM 1114 or CHEM 1251 or CHEM 1351; all min C-). Restricted to students with 57-180 credits (Junior or Senior) Civil (CVEN), Environmental (EVEN) or Architectural Engineering (AREN) mjrs.","Requisites: Prereq courses of CHEN 1211 and CHEM 1211 (or CHEM 1113 and CHEM 1114 or CHEM 1251 or CHEM 1351; all min C-). Restricted to students with 57-180 credits (Junior or Senior) Civil (CVEN), Environmental (EVEN) or Architectural Engineering (AREN) mjrs.",3434,(3),CVEN,) Introduction to Applied Ecology
,,5837,(3),CVEN,) Special Topics for Seniors/Grads
,,5838,(3),CVEN,) Special Topics
,,5849,(1-3),CVEN,) Independent Study
"Evaluates processes used for treatment of wastes requiring special handling and disposal: toxic organic chemicals, heavy metals, and acidic, caustic, and radioactive waste material. Discusses techniques for destruction, immobilization, and resource recovery and assessment of environmental impact of treatment process end products. Same as CVEN 5474. Requisites: Requires prerequisite course of CVEN 3414 (minimum grade C-). Restricted to College of Engineering majors only.",Requisites: Requires prerequisite course of CVEN 3414 (minimum grade C-). Restricted to College of Engineering majors only.,4474,(3),CVEN,) Hazardous and Industrial Waste Management
Surveys microbiology topics germane to modern civil and environmental engineering. Provides fundamentals needed to understand microbial processes and ecology in engineered and natural systems and reviews applications emphasizing the interface between molecular biology and classical civil engineering. Same as EVEN 4484. Requisites: Requires prerequisite courses of CHEN 1211 and CHEM 1211 (or CHEM 1113 and CHEM 1114 or CHEM 1251 or CHEM 1351) and APPM 2350 (or MATH 2400; all minimum grade C-).,Requisites: Requires prerequisite courses of CHEN 1211 and CHEM 1211 (or CHEM 1113 and CHEM 1114 or CHEM 1251 or CHEM 1351) and APPM 2350 (or MATH 2400; all minimum grade C-).,4484,(3),CVEN,) Introduction to Environmental Microbiology
"Systematic formulation of finite element approximation and isoparametric interpolation (weighted residual and energy methods, triangular and quadrilateral elements). Includes computation applications to the solution of one- and two-dimensional stress-deformation problems, steady and transient heat conduction, and viscous flow. Same as CVEN 5511. Requisites: Requires prerequisite courses of CVEN 3161, CVEN 3525, APPM 2360 or MATH 3130 and MATH 4430 (all minimum grade C-).","Requisites: Requires prerequisite courses of CVEN 3161, CVEN 3525, APPM 2360 or MATH 3130 and MATH 4430 (all minimum grade C-).",4511,(3),CVEN,) Introduction to Finite Element Analysis
,,6837,(3),CVEN,) Sp Tpcs Comp Graphics
,,6838,(3),CVEN,) Special Topics
,,6839,(1-3),CVEN,) Special Topics
,,6943,(1),CVEN,) Master's Degree Cand
,,6965,(1-3),CVEN,) Master's Report
,,6966,(1-3),CVEN,) Master's Report
,,1000,(2),DNCE,) Beginning Contemporary Dance Technique
,,5494,(3),CVEN,) Surface Water Quality Modeling
Same as Cven 4511. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5511,(3),CVEN,) Introduction to Finite Element Analysis
,,2501,(2),DNCE,) African Dance
,,2701,(2),DNCE,) Contact Improvisation 1
Same as CVEN 4147. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5147,(3),CVEN,) Civil Engineering Systems
"Covers advanced topics in the mechanics of solids. Some topics such as asymmetric bending of beams, torsion of non-circular cross-sections etc. are extensions of topics seen in CVEN 3161. Others like 3-D stress and strain analysis, failure theories and stability of columns and frames are new. The course includes selected laboratory experiments. Same as CVEN 4161. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5161,(3),CVEN,) Advanced Mechanics of Materials I
,,5206,(3),CVEN,) Design Development
,,5628,(3),CVEN,) Seepage and Slopes
,,5678,(3),CVEN,) Soil Improvement and Reinforcement
,,5688,(3),CVEN,) Environmental Geotechnics
"Analyzes special interest areas of communication theory, research, and practice. Course format involves lecture, discussion, investigative analysis, and practical application. May be repeated twice for credit on different topics. Recommended prereqs., COMM 3210 and COMM 3300. Requisites: Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.",Requisites: Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.,4000,(1-6),COMM,) Advanced Topics in Communication
Provides the opportunity for students writing an honors thesis to develop their understanding of the research process and to improve their research and writing skills. Requisites: Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.,Requisites: Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.,4100,(3),COMM,) Seminar in Honors Thesis Writing and Research
"Introduces students to the practice of quantitative research in communication: conceptualization and critique of research projects, measurements, methods (e.g., experimental and survey), statistical data analysis, and written reports. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6020,(3),COMM,) Quantitative Research Methods
"Studies structural analysis of statically determinate and indeterminate systems, deflections, energy methods, and force method. Requisites: Requires prerequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to Civil (CVEN), Environmental (EVEN), Architectural (AREN), General (GEEN) or Applied Mathematic (AMEN) majors only.","Requisites: Requires prerequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to Civil (CVEN), Environmental (EVEN), Architectural (AREN), General (GEEN) or Applied Mathematic (AMEN) majors only.",3525,(3),CVEN,) Structural Analysis
"Introduces technology, operating characteristics, and relative merits of highway, airway, waterway, railroad, pipeline, and convey or transportation systems. Focuses on evaluation of urban transportation systems and recent transportation innovations. Requisites: Restricted to College of Engineering majors only.",Requisites: Restricted to College of Engineering majors only.,3602,(3),CVEN,) Transportation Systems
"Highlights the role of geology in engineering minerals; rocks; surficial deposits; rocks and soils as engineering materials; distribution of rocks at and below the surface; hydrologic influences; geologic exploration of engineering sites; mapping; and geology of underground excavations, slopes, reservoirs, and dam sites. Includes field trips. Requisites: Requires a prerequisite or corequisite course of CVEN 2121 or GEEN 2851 or ASEN 2001 or MCEN 2023 and APPM 2350 or MATH 2400 (all minimum grade C-). Restricted to College of Engineering majors only.",Requisites: Requires a prerequisite or corequisite course of CVEN 2121 or GEEN 2851 or ASEN 2001 or MCEN 2023 and APPM 2350 or MATH 2400 (all minimum grade C-). Restricted to College of Engineering majors only.,3698,(3),CVEN,) Engineering Geology
"Focuses on the fundamental tools necessary to address sustainable community development projects in low-income communities (LICs).  Topics include:  human development, sustainable development, and presentation of an integrative and participatory framework for development projects in LICs.  The framework consists of a combination of development and engineering project management tools.  Framework is illustrated through case studies and student-driven team projects. Requisites: Restricted to students with EDC Sub-Plan.",Requisites: Restricted to students with EDC Sub-Plan.,5919,(3),CVEN,) Sustainable Community Development 1
"Covers the principles, practices and strategies of appropriate technology as part of an integrated and systems approach to community-based development. Course content areas include technical issues in development, environmental health and communicable disease, appropriate and sustainable technologies with hands-on workshops, and global cooperation in development. Requisites: Requires prerequisite course of CVEN 5919 (minimum grade C-).  Restricted to students with EDC Sub-Plan.",Requisites: Requires prerequisite course of CVEN 5919 (minimum grade C-).  Restricted to students with EDC Sub-Plan.,5929,(3),CVEN,) Sustainable Community Development 2
"Provides a supervised in-field practicum experience in which the student applies theories and concepts learned in Sustainable Community Development I and II (CVEN 5919 and 5929). Department enforced prereqs., CVEN 5919 and 5929 or instructor consent required. Requisites: Restricted to students with EDC Sub-Plan.",Requisites: Restricted to students with EDC Sub-Plan.,5939,(3),CVEN,) Sustainable Community Development Field Practicum
"Studies the fundamentals behind effective hygiene and remediation processes and engineering solutions developed/designed for specific international problems. Approaches to hygiene, clean water and sanitation in lesser industrialized countries often demand alternative solutions to those developed for industrialized societies. This course explores issues and solutions developed to tackle these problems.  Recommended prereqs., CVEN 3424 and CVEN 3414. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5969,(1-3),CVEN,") Water, Sanitation, and Hygiene"
Covers matrix formulation of principles of structural analysis and development of direct stiffness and flexibility methods for analysis of 2D and 3D structures.  Variational formulation of the finite element method.  Geometric nonlinearity.  Familiarity with Metlab programming is expected.  Same as CVEN 5525. Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).,Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).,4525,(3),CVEN,) Matrix Structural Analysis
"Introduces material science of engineering materials, such as atomic and crystal structures, defects and phase diagrams; discusses in detail three construction materials: steel, Portland cement concrete and asphalt concrete including classification and composition, engineering properties and testing methods (with three lab sessions). Covers basic of three materials: wood, fiber reinforced polymers and masonry. Requisites: Requires a prererequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to College of Engineering majors only.",Requisites: Requires a prererequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to College of Engineering majors only.,4535,(1-3),CVEN,) Construction Materials
,,6944,(1),CVEN,) Master's Degree Cand
,,6945,(1),CVEN,) Master's Degree Cand
,,6946,(1),CVEN,) Master's Degree Cand
,,6947,(1),CVEN,) Master's Degree Cand
,,6967,(1-3),CVEN,) Master's Report
,,6968,(1-3),CVEN,) Master's Report
,,6969,(1-3),CVEN,) Masters Report
"Provides the dancer with an introduction to the types of performance venues available today, and their technical systems and equipment. It will also establish an awareness of how technical theatre design arts may be utilized by a choreographer. Credit not granted for this course and DNCE 2012. Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",1012,(2),DNCE,) Dance Production
"An opportunity for students to develop skills of dance improvisation through the exploration of structured movement problems. Students study selected contemporary dance artists whose work stresses improvisation in performance and/or as a training vehicle. Department consent required for dance minors. Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",1013,(2),DNCE,) Dance Improvisation
,,5514,(3),CVEN,) Bioremediation
,,5524,(3),CVEN,) Drinking Water Treatment
Same as CVEN 4525. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5525,(3),CVEN,) Analysis of Framed Structures
,,2849,(1-3),DNCE,) Independent Study
,,5216,(3),CVEN,) Applied Construction Financial Management
,,5226,(3),CVEN,) Safety and Quality
,,5246,(3),CVEN,) Legal Aspects of Construction
"Offers an advanced course in principles of soil mechanics. Coverage includes topics in continuum mechanics; elasticity, viscoelasticity, and plasticity theories applied to soils; the effective stress principle; consolidation; shear strength; critical state concepts; and constitutive, numerical, and centrifuge modeling. Department enforced prereq., CVEN 3718. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5708,(3),CVEN,) Soil Mechanics
Same as CVEN 4718. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5718,(3),CVEN,) Mechanics and Dynamics of Glaciers
"Topical seminar on the functions of communication across interpersonal, group, organizational, and public contexts. Reviews current theory and research on topics such as communication and conflict, persuasion, and ethical dimensions of communication practices. May be taken twice for credit on different topics. Requisites: Requires prerequisite course of COMM 3210 (minimum grade C-). Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.",Requisites: Requires prerequisite course of COMM 3210 (minimum grade C-). Restricted to students with 57-180 credits (Junior or Senior) Communication (COMM or COMN) majors only.,4220,(3),COMM,) Senior Seminar: Functions of Communication
"Introduction to the epistemology, methodology, and representational practices associated with qualitative communication research. Fieldwork methods emphasized include participant observation, interviewing, and document/artifact analysis. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6030,(3),COMM,) Qualitative Research Methods
Facilitates understanding of current and past theory and research on a selected topic in communication and the ability to develop new theory and research on that topic. May be repeated up to 9 total credit hours on different topics. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,6200,(3),COMM,) Seminar: Selected Topics
"Studies basic characteristics of geological materials; soil and rock classifications; site investigation; physical, mechanical, and hydraulic properties of geologic materials; the effective stress principle; soil and rock improvement; seepage analysis; stress distribution; and consolidation and settlement analyses.  Selected experimental and computational laboratories. Requisites: Requires prerequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to Civil (CVEN), Environmental (EVEN), Architectural (AREN), General (GEEN) or Applied Mathematic (AMEN) majors only.","Requisites: Requires prerequisite course of CVEN 3161 or MCEN 2063 (minimum grade C-). Restricted to Civil (CVEN), Environmental (EVEN), Architectural (AREN), General (GEEN) or Applied Mathematic (AMEN) majors only.",3708,(3),CVEN,) Geotechnical Engineering 1
"Discusses shear strength, bearing capacity, lateral earth pressures, slope stability, and underground construction. Analyzes and looks at the design of shallow and deep foundations, retaining walls, tunnels, and other earth and rock structures. Selected experimental and computational laboratories. Requisites: Requires prerequisite course of CVEN 3708 (minimum grade C-).  Restricted to College of Engineering majors only.",Requisites: Requires prerequisite course of CVEN 3708 (minimum grade C-).  Restricted to College of Engineering majors only.,3718,(3),CVEN,) Geotechnical Engineering 2
,,6161,(3),CVEN,) Advanced Mechanics of Materials 2
,,6323,(3),CVEN,) Urban Stormwater Infrastructure Systems
,,6333,(3),CVEN,) Introduction to Multi-Scale Variability and Scaling in Hydrology
,,6383,(3),CVEN,) Flow and Transport through Porous Media
"Provides a broad introduction to a variety of research topics from hydrologic sciences and water resources engineering. Offered as a one-hour weekly seminar by the departmental water faculty, graduate students,and external speakers. Requisites: Restricted to graduate student Civil (CVEN) Engineering students only.",Requisites: Restricted to graduate student Civil (CVEN) Engineering students only.,6393,(1),CVEN,) Hydrologic Sciences and Water Resources Engineering Seminar
"Introduces the use of numerical methods in the solution of civil engineering problems, emphasizing obtaining solutions with high-speed electronic computers. Applies methods to all types of civil engineering problems. Same as CVEN 5537. Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior).","Requisites: Restricted to students with 87-180 credits (Senior, Fifth Year Senior).",4537,(3),CVEN,) Numerical Methods in Civil Engineering
,,6948,(1),CVEN,) Master's Degree Cand
,,6949,(1),CVEN,) Master's Degree Cand
Includes general vibrations of civil engineering structures and their response to various types of time-dependent loads. Requisites: Requires prerequisite course of CVEN 5111 (minimum grade C-).,Requisites: Requires prerequisite course of CVEN 5111 (minimum grade C-).,7111,(3),CVEN,) Advanced Structural Dynamics
"Develops choreography and ensemble performances for undergraduates enrolled in THTR 4029. This course workshops the practices of community engagement. Within this context, each choreographer may develop work that reflects his or her creative passions and research interests, with due consideration of the demographics of outreach audiences. Requisites: Restricted to Dance (DNCE) graduate students only.",Requisites: Restricted to Dance (DNCE) graduate students only.,5048,(1-4),DNCE,) Dance and Community Engagement
"Examines legal, practical, pedagogical and philosophical issues in current dance education. Goals and content of professional and recreational dance training are considered and strategies for effective teaching practice are discussed. All genres of dance may be utilized depending on the specialities of participants. Meets with DNCE 5036. Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",4036,(3),DNCE,) Methods of Teaching Dance
Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,6949,(1),DNCE,) Candidate for Degree
,,4911,(3),EALC,) Practicum in Asian Languages 1
,,4912,(3),EALC,) Practicum in Asian Languages 2
,,1017,(3),DNCE,) Dance and Popular Culture
,,1020,(1),DNCE,) Beginning Contemporary Dance with Experience
,,1027,(3),DNCE,) Introduction to Dance and Culture
,,1091,(1),DNCE,) Modern 1
"Covers the processes used to treat municipal wastewater, focusing on biological processes. Includes: design of aerobic, anoxic, anaerobic and suspended growth technologies to remove and transform pollutants; design and assessment of treatment approaches that recover energy, nutrients and water from wastewater; application of fundamental concepts of aquatic chemistry, environmental microbiology and computational models. Recommended prereqs., CVEN 5404, CVEN 5484 and CVEN 5464. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5534,(3),CVEN,) Wastewater Treatment
Same as CVEN 4537. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5537,(3),CVEN,) Numerical Methods in Civil Engineering
,,2901,(1-3),DNCE,) Technique Practicum 2
,,2909,(1-4),DNCE,) Special Topics
,,5276,(3),CVEN,) Engineering Risk and Decision Analysis
,,5286,(3),CVEN,) Design Construction Operations
"Analysis of viscous incompressible flows, with first-principle solutions for environmental fluid flows in oceans, rivers, lakes and the atmosphere. Topics include the Navier-Stokes equations, kinematics, vorticity dynamics, geophysical fluid dynamics, and density stratification. Department enforced prereqs., APPM 2350, APPM 2360, and CVEN 3313. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5313,(3),CVEN,) Environmental Fluid Mechanics
Same as CVEN 4728. Requisites: Restricted to graduate students only.,Requisites: Restricted to graduate students only.,5728,(3),CVEN,) Foundation Engineering
,,5738,(3),CVEN,) Applied Geotechnical Analysis
,,5748,(3),CVEN,) Design of Earth Structures
,,5758,(3),CVEN,) Flow Processes in Soils
"Reviews current critical methods and issues related to rhetorical criticism, such as contemporary theory of rhetorical criticism, continental discourse theory, and critical theory. May be repeated up to 6 total credit hours on different topics. Recommended prereqs., COMM 5310 and COMM 5320. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6310,(3),COMM,) Rhetorical Criticism
Supervised study of special topics of interest to student under instructor guidance. Requisites: Restricted to College of Engineering majors only.,Requisites: Restricted to College of Engineering majors only.,3837,(1-3),CVEN,) Special Topics
"Students enrolled in this course participate in a previously arranged, department-sponsored cooperative education program with a university, government agency, or industry.  This course is offered only through Continuing Education.  May be repeated up to 24 total credit hours.  Department enforced restriction:  2.75 GPA.  Recommended restriction:  3.00 GPA.  This course cannot be used to fulfill any of CEAE's degree requirements. Requisites: Restricted to Civil (CVEN), Environmental (EVEN), or Architectural Engineering (AREN) majors only.","Requisites: Restricted to Civil (CVEN), Environmental (EVEN), or Architectural Engineering (AREN) majors only.",3930,(6),CVEN CEAE,) CEAE Cooperative Education
"Examines aquatic equilibria, corrosion, colloid and polymer chemistry, behavior of natural organic matter in engineered systems, and application of personal computers to model aquatic equilibria. Requires a term project. Offered in the spring every other year. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,6404,(3),CVEN,) Advanced Aquatic Chemistry
"Applies basic principles of structural engineering and mechanics to design of steel structures; design of tension members, columns, beams, open-web joists, steel decks, bolts, bolted connections, welding processes, and welded connections. Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).",Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).,4545,(3),CVEN,) Steel Design
"Introduces engineering methods for the study of air quality. Topics include:  indoor air quality, greenhouse gases, dispersion modeling, source apportionment modeling, chemistry of combustion, pollution sources and controls, human exposure to air pollutants. A focus on Engineering for Developing Communities runs throughout. Elective for the EVEN air quality track or an environmental concentration course for CVEN. Same as CVEN 5554. Requisites: Requires prerequisite courses of APPM 2360 or MATH 3130 and 4430 and CVEN 3313 or CHEN 3200 or MCEN 3021 (all minimum grade C-).",Requisites: Requires prerequisite courses of APPM 2360 or MATH 3130 and 4430 and CVEN 3313 or CHEN 3200 or MCEN 3021 (all minimum grade C-).,4554,(3),CVEN,) Fundamentals of Air Quality Management
,,6951,(1-4),CVEN,) Master's Thesis
,,6952,(1-4),CVEN,) Master's Thesis
Teaches mathematical theories of plate and shell structures and their applications. Involves numerical finite element solutions of plates and shells of various shapes under static and dynamic loadings. Requisites: Requires prerequisite courses of CVEN 5131 or 5161 (minimum grade C-).,Requisites: Requires prerequisite courses of CVEN 5131 or 5161 (minimum grade C-).,7141,(3),CVEN,) Plates and Shells
,,7161,(3),CVEN,) Fracture Mechanics
Provides the opportunity for choreographic and performative synthesis and experimentation via the execution of a project related to the student's major area of creative research. Project must be approved by the student's first reader. Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,5052,(1-3),DNCE,) Studio Concert
Meets wtih DNCE 4053. Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,5053,(3),DNCE,) Advanced Dance Composition
"Focuses on the development of perceptual, descriptive, and analytical skills as well as the ability to apply cultural and critical theory to 20th and 21st century concert dance. Specific pieces of choreography are looked at from a broad range of perspectives. Recommended prereq. or coreq., a Human Diversity core requirement course. Formerly DNCE 3027. Approved for arts and sciences core curriculum: literature and the arts. Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).",Requisites: Restricted to students with 57-180 credits (Juniors or Seniors).,4037,(3),DNCE,) Looking at Dance
,,4038,(1-3),DNCE,) Dance Repertory
Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,6959,(1-6),DNCE,) Master's Thesis
Provides the opportunity for synthesizing the graduate experience through the execution of a project related to the student's major area of interest. Project must be approved by the graduate faculty advisor.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,6969,(1-6),DNCE,) The Graduate Project
,,4913,(3),EALC,) Practicum in Asian Languages 3
,,4914,(3),EALC,) Practicum in Asian Languages 4
"Selected students are matched with supervised internships in business, public and private service organizations, and educational institutions. Internships focus on opportunities to apply language and cultural skills. Students meet regularly with instructor and supervisor, keep a journal, and submit a final paper. May be repeated up to 6 total credit hours. Recommended prereq., JPNS 3120 or CHIN 3120. Requisites: Requires prerequisite course of JPNS 2120 or CHIN 2120 (minimum grade C).",Requisites: Requires prerequisite course of JPNS 2120 or CHIN 2120 (minimum grade C).,4930,(1-6),EALC,) Internship
,,1010,(3),EBIO,) Introduction to Quantitative Thinking for Biologists
,,1100,(1),DNCE,) Beginning Ballet
,,1120,(1),DNCE,) Beginning Ballet with Experience
,,5544,(3),CVEN,) Solid Waste Management and Resource Recovery
,,5554,(3),CVEN,) Fundamentals of Air Quality Management
"Explores principles and methods of structural reliability, and formulates bases for design to insure adequate safety and performance of elements and structural systems.  Undergraduates may enroll with the permission of the instructor.  Department enforced prereq., CVEN 5525. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5555,(3),CVEN,) Structural Reliability
,,3001,(2),DNCE,) Intermediate/Advanced Contemporary Dance Technique
"Emphasizes the integration of hydrologic, chemical, and biological processes in controlling river, stream, and reservoir ecosystems at several spatial scales. Students apply ecosystem concepts to current environmental and water quality problems and learn field methods in field trips and a team project. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5323,(3),CVEN,) Applied Stream Ecology
"Introduces hydrology as a quantitative science describing the occurrence, distribution and movement of water at and near the surface of the earth.  Develops a quantitative understanding of atmospheric water, infiltration, evapotranspiration and surface runoff.  Studies global climatology and large scale climate drivers of regional hydrology at interannual time scales.  Solves engineering problems related to water resources. Department enforced prereqs., CVEN 4333, 5454, and 5537. Requisites: Restricted to graduate students only.",Requisites: Restricted to graduate students only.,5333,(3),CVEN,) Physical Hydrology and Hydroclimatology
,,5768,(3),CVEN,) Introduction to Rock Mechanics
,,5788,(3),CVEN,) Computational Modeling in Geotechnical Engineering
,,5798,(3),CVEN,) Dynamics of Soils and Foundations
"Examines the role of surfaces and particles in the fate and transport of contaminants in the aquatic environment. Emphasizes modeling of absorption, dissolution, precipitation, surface-catalyzed reactions, and coagulation and filtration kinetics. Requisites: Requires prerequisite course of CVEN 5404 or GEOL 5280 (minimum grade C-).",Requisites: Requires prerequisite course of CVEN 5404 or GEOL 5280 (minimum grade C-).,6414,(3),CVEN,) Aquatic Surfaces and Particles
"Applies basic principles of structural engineering and mechanics to the design of reinforced concrete structures, including design of beams, columns, slabs, and footings; continuous beams and frames; cast-in-place buildings. Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).",Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).,4555,(3),CVEN,) Reinforced Concrete Design
"Applies design methods to beams, columns, trusses, and connections using timber and glued, laminated members. Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).",Requisites: Requires prerequisite course of CVEN 3525 (minimum grade C-).,4565,(3),CVEN,) Timber Design
,,6953,(1-6),CVEN,) Master's Thesis
,,7206,(1),CVEN,) CEM PhD Seminar
,,7511,(3),CVEN,) Computational Finite Inelasticity and Multiphase Mechanics
,,7718,(3),CVEN,) Engineering Properties of Soils
"Examines practical, pedagogical, philosophical, and legal issues in current dance education. The goals and content of professional and recreational dance training are considered and strategies for effective teaching practice are discussed. Provides practice in practical application of theoretical material. All genres of dance may be utilized. Requisites: Restricted to Dance (DNCE) graduate students only.",Requisites: Restricted to Dance (DNCE) graduate students only.,5056,(2),DNCE,) Graduate Teaching Seminar
"Investigates music in relation to dance performance, choreography, and teaching. Topics may include: a survey of musical styles and composers; direct experimentation with composition and recording techniques; enhancement of rhythmic versatility; work with accompanist/composers; and/or improvement of analytical listening and writing skills. Requisites: Restricted to Dance (DNCE) graduate students only.",Requisites: Restricted to Dance (DNCE) graduate students only.,5064,(2),DNCE,) Music and Dance Seminar: Collaboration
May be repeated up to 6 total credit hours. Requisites: Restricted to Dance (DNCE) graduate students only.,Requisites: Restricted to Dance (DNCE) graduate students only.,5101,(1),DNCE,) Intermediate Graduate Ballet
"Develops understanding of the ballet canon through practice of major solos from Romantic, Classical, and Neo-Classical ballets. For the advanced classical ballet student. Enrollment by audition only. May be repeated up to 2 total credit hours. Meets with DNCE 4128. Requisites: Restricted to Dance (DNCE) graduate students only.",Requisites: Restricted to Dance (DNCE) graduate students only.,5128,(1),DNCE,) Ballet Repertory
,,4047,(3),DNCE,) Hip-Hop Dance History
"Focuses on deepening the artistic voice and engaging with other art forms. Students explore the integration of technology and collaboration in creative projects and continue to engage in an objective critical process of their own work and the work of others. Meets with DNCE 5053. Requisites: Requires a prerequisite course of DNCE 3043 (minimum grade C-).  Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Requires a prerequisite course of DNCE 3043 (minimum grade C-).  Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",4053,(3),DNCE,) Advanced Dance Composition
,,1030,(3),EBIO,) Biology: A Human Approach 1
,,1040,(3),EBIO,) Biology: A Human Approach 2
,,1190,(1),DNCE,) Ballet 1
,,1200,(1),DNCE,) Beginning Jazz Dance
"Enhances rhythmic acuity through intensive rhythmic drills, analytical listening, drumming, notating and creating rhythm-based performance work. Course material explores non-Western rhythmic paradigms, irregular meters, mixed meters, polyrhythms, etc., and how to communicate clearly with a live accompanist in technique class. Department consent required for dance minors. Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",3014,(2),DNCE,) Rhythmic Skills for Dancers
"Examines how musical choices can profoundly affect audiences, dancers, and the creative process. Surveys historic and contemporary music styles and influential artists through guided listening and experimentation. Deepens understanding of music, including vocabulary, technology, collaboration skills, ethics, and copyright issues. Department consent required for dance minors Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.","Requisites: Restricted to Dance (DNCE or DBFA, excludes DNCE-MIN) majors only.",3024,(2),DNCE,) Musical Resources for Dance
,,5343,(3),CVEN,) Transport and Dispersion in Surface Water
,,5346,(3),CVEN,) Managing Construction and Engineering Projects and Organizations
