id,department,number,credits,name,prerequisites,description
62,CSCI,3100,(1),) Software and Society,"Requisites: Requires prerequisite course of CSCI 3308 (minimum grade C-). Restricted to Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA, CSCI-ADL) majors only.","Provides students with an understanding of the professional, ethical, legal and social issues and responsibilities of software developers, as well as providing them with the ability to analyze the local and global impacts of computing on individuals, organizations and society. Students may not receive credit for both this course and CSCI 4308, 4328 or 4338. Requisites: Requires prerequisite course of CSCI 3308 (minimum grade C-). Restricted to Computer Science (CSEN-BS, CSEN-ADL, CSCI-BA, CSCI-ADL) majors only."
63,CSCI,7135,(3),) Topics in Programming Languages,Requisites: Restricted to graduate students only.,"Topics selected by instructor. Possible topics are syntax, semantics, metacompilers, compiler design, and translator writing systems. Department consent required. Requisites: Restricted to graduate students only."
64,CSCI,7143,(3),) Topics in Computer Systems,Requisites: Restricted to graduate students only.,"Topics selected by instructor. Possible topics are online systems, multiprocessing, microprogramming, architecture, data communications, and computing networks. May be repeated up to 6 total credit hours. Department consent required. Requisites: Restricted to graduate students only."
66,CSCI,4502,(3),) Data Mining,Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-).,"Introduces basic data mining concepts and techniques for discovering interesting patterns hidden in large-scale data sets, focusing on issues relating to effectiveness and efficiency. Topics covered include data preprocessing, data warehouse, association, classification, clustering, and mining specific data types such as time-series, social networks, multimedia, and Web data.  Same as CSCI 5502. Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-)."
67,CSCI,5673,(3),) Distributed Systems,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Examines systems that span multiple autonomous computers. Topics include system structuring techniques, scalability, heterogeneity, fault tolerance, load sharing, distributed file and information systems, naming, directory services, resource discovery, resource and network management, security, privacy, ethics, and social issues. Recommended prereqs., CSCI 5573 or a course in computer networks. Same as ECEN 5673. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
68,CSCI,5714,(3),) Formal Languages,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Explores context-free languages: pumping lemma and variants, closure properties, and decision properties. Involves parsing algorithms, including general and special languages, e.g., LR. Additional topics chosen by instructor. Recommended prereq., CSCI 5444 or instructor consent required. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
69,CSCI,5722,(3),) Computer Vision,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Explores algorithms that can extract information about the world from images or sequences of images. Topics covered include: imaging models and camera calibration, early vision (filters, edges, texture, stereo, optical flow), mid-level vision (segmentation, tracking), vision-based control, and object recognition. Recommended prereq., probability, multivariate calculus, and linear algebra. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
70,CSCI,5352,(3),) Network Analysis and Modeling,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Examines modern techniques for analyzing and modeling the structure and dynamics of complex networks. Focuses on statistical algorithms and methods, and emphasizes model interpretability and understanding the processes that generate real data. Applications are drawn from computational biology and computational social science. No biological or social science training is required.  Recommended prereqs., CSCI 3104 and APPM 3570. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
71,CSCI,5413,(3),) Computer Security and Ethical Hacking,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Teaches basic exploit design and development through hands-on experimentation and testing. Uses a controlled environment to give students a ""playground"" in which to test penetration skills that are normally not allowed on live networks. Same as CSCI 4413. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
72,CSCI,3104,(4),) Algorithms,"Requisites: Requires prerequisite courses of CSCI 2270 and APPM 1360 or MATH 2300 and one of the following:  CSCI 2824, ECEN 2703, APPM 3170 or MATH 2001 (all minimum grade C-).","Covers advanced data structures, computational geometry, cryptography, dynamic programming, greedy algorithms, divide-and-conquer, graph algorithms (e.g., depth-first search), network algorithms (e.g., shortest paths), approximation algorithms. Requisites: Requires prerequisite courses of CSCI 2270 and APPM 1360 or MATH 2300 and one of the following:  CSCI 2824, ECEN 2703, APPM 3170 or MATH 2001 (all minimum grade C-)."
73,CSCI,3112,(1-3),) Human-Centered Computing Professional Development,,
74,CSCI,7154,(3),) Topics in Theory of Computation,Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.,Selected topics of current interest in theory of computation. Requisites: Requires prerequisite course of CSCI 5454 (minimum grade B). Restricted to graduate students only.
75,CSCI,7176,(3),) Topics in Numerical Computation,Requisites: Restricted to graduate students only.,"Topics selected by instructor. Possible topics are numerical linear algebra, solution of differential equations, nonlinear algebra and optimization, data fitting, linear and nonlinear programming, and solution of large problems. Department consent required. Requisites: Restricted to graduate students only."
76,CSCI,4555,(3),) Compiler Construction,Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 2400 or ECEN 3350 (all minimum grade C-).,"Introduces the basic techniques used in translating programming languages: scanning, parsing, definition table management, operator identification and coercion, code selection and register allocation, error recovery. Students build a complete compiler for a simple language. Same as ECEN 4553 and CSCI 5525. Requisites: Requires prerequisite courses of CSCI 3155 and CSCI 2400 or ECEN 3350 (all minimum grade C-)."
77,CSCI,4576,(4),) High-Performance Scientific Computing,,
78,CSCI,5753,(3),) Computer Performance Modeling,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Presents a broad range of system measurement and modeling techniques, emphasizing applications to computer systems. Topics include system measurement, work load characterization, and analysis of data; design of experiments; simulation; and queuing theory and queuing network models. Same as CSCI 4753. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
79,CSCI,5809,(3),) Computer Animation,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Develops a firm understanding of the general principles of computer animation. Lectures cover the creation of models, materials, textures, surfaces, and lighting. Path and key frame animation, particle dynamics, and rendering are introduced. Students are assigned a number of animation tutorials to carry out. Same as CSCI 4809 and ATLS 4809/5809. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
92,CSCI,3287,(3),) Design and Analysis of Data Systems,Requisites: Requires prerequisite course of CSCI 3104 (minimum grade C-).,"Analyzes design of data systems, including data stored in file systems, database management systems and physical data organizations. Studies calculus of data models, query languages, concurrency and data privacy and security. Requisites: Requires prerequisite course of CSCI 3104 (minimum grade C-)."
80,CSCI,5417,(3),) Information Retrieval Systems,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Addresses practical issues in the design, implementation and analysis of modern information retrieval systems. The major focus is on Web-based applications including ad hoc retrieval, classification, and clustering. Introduces the use of open source retrieval systems, standard evaluation metrics and gold-standard evaluation collections. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
81,CSCI,5444,(3),) Introduction to Theory of Computation,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Reviews regular expressions and finite automata. Studies Turing machines and equivalent models of computation, the Chomsky hierarchy, context-free grammars, push-down automata, and computability. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
82,CSCI,3155,(4),) Principles of Programming Languages,Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or ECEN 2703 or APPM 3170 or MATH 2001 (all minimum grade C-).,"Study fundamental concepts on which programming of languages are based, and execution models supporting them. Topics include values, variables, bindings, type systems, control structures, exceptions, concurrency, and modularity. Learn how to select a language and to adapt to a new language. Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or ECEN 2703 or APPM 3170 or MATH 2001 (all minimum grade C-)."
83,CSCI,3202,(3),) Introduction to Artificial Intelligence,"Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or MATH 2001 or ECEN 2703 or APPM 3170 and one of the following:  APPM 3570, 4570, 4520, MATH 3510, 4510, CVEN 3227, ECEN 3810 or MCEN 4120 (all minimum grade C-).","Surveys artificial intelligence techniques of search, knowledge representation and reasoning, probabilistic inference, machine learning, and natural language     processing. Introduces artificial intelligence programming. Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or MATH 2001 or ECEN 2703 or APPM 3170 and one of the following:  APPM 3570, 4570, 4520, MATH 3510, 4510, CVEN 3227, ECEN 3810 or MCEN 4120 (all minimum grade C-)."
84,CSCI,7222,(3),) Topics in Nonsymbolic Artificial Intelligence,Requisites: Restricted to graduate students only.,"Topics vary from year to year. Possible topics include human and machine vision, signal and speech processing, artificial life, mathematical foundations of connectionism, and computational learning theory. Recommended prereq., CSCI 5622 or instructor consent required. Requisites: Restricted to graduate students only."
85,CSCI,7412,(2),) Cognitive Science Research Practicum,Requisites: Requires a prerequisite course of CSCI 6402 or EDUC 6504 or LING 6200 or PHIL 6310 or PSYC 6200 (minimum grade B). Restricted to graduate students only.,"Independent, interdisciplinary research project in cognitive science for graduate students pursuing a joint Ph.D in an approved core discipline and cognitive science. Projects integrate at least two areas within the cognitive sciences: psycology, computer science, linguistics, education, philosophy. Students should obtain commitments from two mentors for their project. Recommended prereqs., CSCI 7762 or EDUC 6505 or LING 7762 or PSYC 7765. Same as LING 7415, PSYC 7415, PHIL 7415, and EDUC 6506. Requisites: Requires a prerequisite course of CSCI 6402 or EDUC 6504 or LING 6200 or PHIL 6310 or PSYC 6200 (minimum grade B). Restricted to graduate students only."
86,CSCI,4586,(4),) High-Performance Scientific Computing 2,Requisites: Requires prerequisite course of CSCI 4576 (minimum grade C-).,"Introduces computing systems, software, and methods to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. Second course in a two-semester sequence. Requisites: Requires prerequisite course of CSCI 4576 (minimum grade C-)."
87,CSCI,4593,(3),) Computer Organization,Requisites: Requires prerequisite course of ECEN 3350 or CSCI 2400 (minimum grade C-).  Restricted to College of Engineering majors only.,"Studies computer design at the gate level. Discusses instruction set architecture design, arithmetic and logic unit design, control logic, memory design and caches, simple pipelining,  I/O, and peripheral devices. Briefly covers aspects of modern computer architecture, such as multicore processors and cache coherence for these. Same as ECEN 4593. Requisites: Requires prerequisite course of ECEN 3350 or CSCI 2400 (minimum grade C-).  Restricted to College of Engineering majors only."
88,CSCI,5817,(3),) Database Systems,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Provides an advanced treatment of basic database concepts. Recommended prereqs., CSCI 3287 and 3753. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
89,CSCI,5822,(3),) Probabilistic Models of Human and Machine Learning,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Introduces a set of modeling techniques that have become a mainstay of modern artificial intelligence, cognitive science and machine learning research. These models provide essential tools for interpreting the statistical structure of large data sets and for explaining how intelligent agents analyze the vast amount of experience that accumulates through interactions with an unfamiliar environment. Recommended prerequisite: undergraduate course in probability and statistics. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
90,CSCI,5446,(3),) Chaotic Dynamics,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Explores chaotic dynamics theoretically and through computer simulations. Covers the standard computational and analytical tools used in nonlinear dynamics and concludes with an overview of leading-edge chaos research. Topics include time and phase-space dynamics, surfaces of section, bifurcation diagrams, fractal dimension, and Lyapunov exponents. Same as CSCI 4446 and ECEN 5423. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
91,CSCI,5448,(3),) Object-Oriented Analysis and Design,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"An applied analysis and design class addressing the use of object-oriented techniques. Topics include domain modeling, use cases, architectural design, and modeling notations. Students apply the techniques in analysis and design projects.  Same as CSCI 4448. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
173,CSCI,7000,(1-4),) Current Topics in Computer Science,Requisites: Restricted to graduate students only.,Covers research topics of current interest in computer science that do not fall into a standard subarea. May be repeated up to 8 total credit hours. Requisites: Restricted to graduate students only.
93,CSCI,3302,(3),) Introduction to Robotics,Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or ECEN 2703 or APPM 3170 or MATH 2001(all minimum grade C-).,"Introduces students to fundamental concepts in autonomous, mobile robotics: mechanisms, locomotion, kinematics, control, perception and planning. The course consists of lectures and lab sessions that are geared toward developing a complex robot controller in a realistic, physics-based multi-robot simulator. Same as ECEN 3303. Requisites: Requires prerequisite courses of CSCI 2270 and CSCI 2824 or ECEN 2703 or APPM 3170 or MATH 2001(all minimum grade C-)."
94,CSCI,7422,(2),) Cognitive Science Research Practicum 2,Requisites: Requires a prerequisite course of LING 7415 or PSYC 7415 or CSCI 7412 or EDUC 6506 (minimum grade B). Restricted to graduate students only.,"Independent, interdisciplinary research project in cognitive science for advanced graduate students pursuing a joint Ph.D in an approved core discipline and cognitive science. Research projects integrate at least two areas within the cognitive sciences: psychology, computer science, linguistics, education, philosophy. Students need commitments from two mentors for their project. Same as PSYC 7425, LING 7425, PHIL 7425, and EDUC 6516. Requisites: Requires a prerequisite course of LING 7415 or PSYC 7415 or CSCI 7412 or EDUC 6506 (minimum grade B). Restricted to graduate students only."
95,CSCI,7717,(3),) Topics in Database Systems,Requisites: Requires prerequisite course of CSCI 5817 (minimum grade B). Restricted to graduate students only.,"Studies topics such as distributed databases, database interfaces, data models, database theory, and performance measurement in depth. Requisites: Requires prerequisite course of CSCI 5817 (minimum grade B). Restricted to graduate students only."
96,CSCI,4753,(3),) Computer Performance Modeling,Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-).,"Presents a broad range of system measurement and modeling techniques, emphasizing applications to computer systems. Topics include system measurement, work load characterization, and analysis of data; design of experiments; simulation; and queuing theory and queuing network models. Department enforced prereq., second-semester calculus. Recommended prereq., a course in statistics. Same as CSCI 5753 and ECEN 4753/5753. Requisites: Requires prerequisite course of CSCI 3753 (minimum grade C-)."
97,CSCI,4809,(3),) Computer Animation,,
98,CSCI,5828,(3),) Foundations of Software Engineering,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Provides an introduction to software engineering concepts and techniques. Topics include the history of software engineering, fundamental software engineering principles and theory, software life cycles, software testing, and the design and implementation of concurrent and large-scale software systems. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
99,CSCI,5832,(3),) Natural Language Processing,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,Explores the field of natural language processing as it is concerned with the theoretical and practical issues that arise in getting computers to perform useful and interesting tasks with natural language. Covers the problems of understanding complex language phenomena and building practical programs. Same as LING 5832. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.
100,CSCI,5454,(3),) Design and Analysis of Algorithms,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Techniques for algorithm design, analysis of correctness and efficiency; divide and conquer, dynamic programming, probabilistic methods, advanced data structures, graph algorithms, etc. Lower bounds, NP-completeness, intractability. Recommended prereq., CSCI 2270 or equivalent. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
101,CSCI,5502,(3),) Data Mining,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Introduces basic data mining concepts and techniques for discovering interesting patterns hidden in large-scale data sets, focusing on issues relating to effectiveness and efficiency. Topics covered include data preprocessing, data warehouse, association, classification, clustering, and mining specific data types such as time-series, social networks, multimedia, and Web data.  Same as CSCI 4502. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
102,CSCI,3308,(3),) SoftwareDevelopment Methods and Tools,Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-).,"Covers tools and practices for software development with a strong focus on best practices used in industry and professional development, such as agile methodologies, pair-programming and test-driven design. Students develop web services and applications while learning these methods and tools. Requisites: Requires prerequisite course of CSCI 2270 (minimum grade C-)."
103,CSCI,3434,(3),) Theory of Computation,Requisites: Requires prerequisite courses of CSCI 3104 and CSCI 3155 (all minimum grade C-).,"Introduces the foundations of formal language theory, computability, and complexity. Shows relationship between automata and various classes of languages. Addresses the issue of which problems can be solved by computational means, and studies complexity of solutions. Requisites: Requires prerequisite courses of CSCI 3104 and CSCI 3155 (all minimum grade C-)."
104,CSCI,7772,(1),) Topics in Cognitive Science,Requisites: Restricted to graduate students only.,"Reading of interdisciplinary innovative theories and methodologies of cognitive science. Students participate in the ICS Distinguished Speakers series that hosts internationally recognized cognitive scientists who share and discuss their current research. Session discussions include analysis of leading edge and controversial new approaches in cognitive science. Same as LING 7775, PSYC 7775, EDUC 7775, SLHS 7775, and PHIL 7810. Requisites: Restricted to graduate students only."
105,CSCI,7818,(3),) Topics in Software Engineering,Requisites: Restricted to graduate students only.,Studies selected topics of current interest in software engineering. Department consent required. Requisites: Restricted to graduate students only.
106,CSCI,4810,(1),) Seminar in Computational Biology,,
107,CSCI,4830,(1-3),) Special Topics in Computer Science,Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-).,Covers topics of interest in computer science at the senior undergraduate level. Content varies from semester to semester.  May be repeated up to 9 total credit hours. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C-).
108,CSCI,5839,(3),) User-Centered Design and Development 1,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Develops the skills and practices necessary to apply user-centered approaches to software requirements analysis, and the design and evaluation of computer applications. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
109,CSCI,5900,(1-6),) Master's Level Independent Study,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,Provides opportunities for independent study at the master's level.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.
110,CSCI,5525,(3),) Compiler Construction,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Introduces the principles and techniques for compiling high-level programming languages to assembly code. Topics include parsing, instruction selection, register allocation, and compiling high-level features such as polymorphism, first-class functions, and objects. Students will build a complete compiler for a simple language. Recommended prereq., CSCI 3155 and CSCI 2400, or ECEN 2120 or ECEN 3350. Same as ECEN 5523, CSCI 4555, and ECEN 4553. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
111,CSCI,5535,(3),) Fundamental Concepts of Programming Languages,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Considers concepts common to a variety of programming languages--how they are described (both formally and informally) and how they are implemented. Provides a firm basis for comprehending new languages and gives insight into the relationship between languages and machines. Recommended prereq., CSCI 3155 or instructor consent required.  Same as ECEN 5533. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
112,CSCI,3656,(3),) Numerical Computation,Requisites: Requires prerequisite courses of CSCI 1300 or CSCI 1310 or CSCI 1320 and APPM 1350 or MATH 1300 and APPM 1360 or MATH 2300 and MATH 3130 or APPM 3310 or CSCI 2820 (all minimum grade C-).,"Covers development, computer implementation, and analysis of numerical methods for applied mathematical problems. Topics include floating point arithmetic, numerical solution of linear systems of equations, root finding, numerical interpolation,differentiation, and integration. Requisites: Requires prerequisite courses of CSCI 1300 or CSCI 1310 or CSCI 1320 and APPM 1350 or MATH 1300 and APPM 1360 or MATH 2300 and MATH 3130 or APPM 3310 or CSCI 2820 (all minimum grade C-)."
113,CSCI,3702,(3),) Cognitive Science,,
114,CSCI,7900,(1-6),) Doctoral Level Independent Study,Requisites: Restricted to graduate students only.,For doctoral students.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Requisites: Restricted to graduate students only.
115,CSCI,8990,(1-10),) Doctoral Dissertation,Requisites: Restricted to graduate students only.,Investigates some specialized field of computer science. Approved and supervised by faculty members.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Requisites: Restricted to graduate students only.
116,CSCI,5919,(3),) HCC Survey and Synthesis: Foundations and Trajectories,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Examines interdisciplinary field of human-computer interaction through a comprehensive content and historical survey. Considers new trajectories of inquiry and how the field merges with others. ""Social computing"" is emphasized as a central topic. Students across disciplines will find the course foundational for understanding human-centered technology matters, including computer scientists; social scientists; and business and media arts students. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
117,CSCI,5929,(3),) HCC Survey and Synthesis: New Disciplinary Directions,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Studies recent advances in human-computer interaction through critical analysis of influential papers and self-guided research.  Examines new paradigms in input, output, and visualization for technology design and interaction.  Considers innovative methods to assess various population design and technological needs.  Studies in computer-related fields, social science, business, media arts, and communications benefit learning about human-centered computing research.  Recommended prereq., CSCI 5919. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
118,CSCI,5548,(3),) Software Engineering of Standalone Programs,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Applies engineering principles to phases of software product development, project planning, requirements definition, design, implementation, validation, and maintenance. Emphasizes practical methods for communicating and verifying definitions and designs---prototyping, inspections, and modeling. Includes relation to RTS and object-oriented programming. Recommended prereqs., CSCI 1300, CSCI 2270, or instructor consent required. Same as ECEN 5543. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
119,CSCI,5551,(3),) Parallel Processing,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Examines a range of topics involved in using parallel operations to improve computational performance. Discusses parallel architectures, parallel algorithms and parallel programming languages. Architectures covered include vector computers, multiprocessors, network computers, and data flow machines. Department enforced prereq., background in computer organization, introduction to programming languages, elementary numerical analysis, or instructor consent. Same as ECEN 5553. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
120,CSCI,3753,(4),) Design and Analysis of Operating Systems,Requisites: Requires prerequisite courses of CSCI 2270 and either CSCI 2400 or ECEN 3350 (all minimum grade C-).,"Analyzes the software that extends hardware to provide a computing environment, including he role of linkers, file systems, resource sharing, security and networking. Studies the history of operating system organization and design and their influence on security, functionality and reliability. Requisites: Requires prerequisite courses of CSCI 2270 and either CSCI 2400 or ECEN 3350 (all minimum grade C-)."
174,CSCI,7123,(3),) Topics in Operating Systems,Requisites: Requires prerequisite course of CSCI 5573 (minimum grade B). Restricted to graduate students only.,"Topics selected by instructor. Possible topics are system design, measurement and evaluation, simulation, mathematical modeling, and parallelism. Requisites: Requires prerequisite course of CSCI 5573 (minimum grade B). Restricted to graduate students only."
121,CSCI,6000,(1),) Introduction to the Computer Science PhD Program,Requisites: Restricted to graduate students only.,"Instructs new Ph.D students in Computer Science how to obtain a Ph.D and how to become an effective member of the computer science research community. Makes students aware of formal requirements, educational objectives, and research themes. Provides evaluative criteria and guidelines for all objectives to be achieved. Requisites: Restricted to graduate students only."
122,CSCI,6268,(3),) Foundations of Computer and Network Security,Requisites: Requires prerequisite course of CSCI 5273 (minimum grade B). Restricted to graduate students only.,"Studies methods to protect information, and the ability to process and move information, from theft, misuse, tampering, destruction, and unauthorized access. Introduces foundational topics of computer and network security, including security models, cryptopgraphy, and authentication protocols. Same as TLEN 5550. Requisites: Requires prerequisite course of CSCI 5273 (minimum grade B). Restricted to graduate students only."
123,CSCI,6302,(3),) Speech Recognition and Synthesis,Requisites: Restricted to graduate students only.,"Introduction to automatic speech recognition and understanding, conversational agents, dialogue systems, and speech synthesis/text-to-speech. Topics include the noisy channel model, Hidden Markov Models, A* and Viterbi decoding, language modeling (N-grams, entropy), concatenative synthesis, text normalization, dialogue and conversation modeling. Recommended prereqs., CSCI 5582 or 5832, or LING 5200, or instructor consent required. Requisites: Restricted to graduate students only."
124,CSCI,5573,(3),) Advanced Operating Systems,Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Intended to create a foundation for operating systems research or advanced professional practice. Examines the design and implementation of a number of research and commercial operating systems and their components, system organization and structure, threads, communication and synchronization, virtual memory, distribution, file systems, security and authentication, availability, and Internet services. Department enforced prereq., equivalent undergraduate coursework in operating systems and computer architecture, or instructor consent. Same as ECEN 5573. Requisites: Requires prerequisite course of CSCI 2400 (minimum grade C). Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
125,CSCI,5576,(4),) High-Performance Scientific Computing,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Introduces computing systems, software, and methods used to solve large-scale problems in science and engineering. Students use high-performance workstations and a supercomputer. First course in a two-semester sequence. Same as CSCI 4576. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
126,CSCI,5593,(3),) Advanced Computer Architecture,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Provides a broad-scope treatment of important concepts in the design and implementation of high-performance computer systems. Discusses important issues in the pipelining of a machine and the design of cache memory systems. Also studies current and historically important computer architectures. Recommended prereq., CSCI 4593 or instructor consent required. Same as ECEN 5593. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
127,CSCI,4900,(1-3),") Upper Division, Undergraduate Level Independent Study",Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).,Provides opportunities for independent study at the upper-division undergraduate level. Students work on a small research problem or tutor lower-division computer science students. Requisites: Requires prerequisite course of CSCI 1300 or CSCI 1310 or CSCI 1320 (all minimum grade C-).
128,CSCI,5606,(3),) Principles of Numerical Computation,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Highlights computer arithmetic, solution of linear systems, least-squares approximations, nonlinear algebraic equations, interpolation, and quadrature. Recommended prereqs., CSCI 3656 and three semesters of calculus, or equivalent. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
129,CSCI,5608,(3),) Software Project Management,Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only.,"Presents topics and techniques critical to the management of software product development, including estimating, planning, quality, tracking, reporting, team organization, people management, and legal issues. Gives special attention to problems unique to software projects. Recommended prereqs., ECEN 4583, CSCI 5548 and 4318, or equivalent industrial experience. Same as ECEN 5603 and EMEN 5031. Requisites: Restricted to Computer Science (CSEN) graduate students or Computer Science Concurrent Degree majors only."
